Date,Close/Last
07/15/2025,$226.35
07/16/2025,$223.19
07/17/2025,$223.88
07/18/2025,$226.13
07/21/2025,$229.30
07/22/2025,$227.47
07/23/2025,$228.29
07/24/2025,$232.23
07/25/2025,$231.44
07/28/2025,$232.79
07/29/2025,$231.01
07/30/2025,$230.19
07/31/2025,$234.11
08/01/2025,$214.75
08/04/2025,$211.65
08/05/2025,$213.75
08/06/2025,$222.31
08/07/2025,$223.13
08/08/2025,$222.69
08/11/2025,$221.30
08/12/2025,$221.47
08/13/2025,$224.56
08/14/2025,$230.98
08/15/2025,$231.03
08/18/2025,$231.49
08/19/2025,$228.01
08/20/2025,$223.81
08/21/2025,$221.95
08/22/2025,$228.84
08/25/2025,$227.94
08/26/2025,$228.71
08/27/2025,$229.12
08/28/2025,$231.60
08/29/2025,$229.00
09/02/2025,$225.34
09/03/2025,$225.99
09/04/2025,$235.68
09/05/2025,$232.33
09/08/2025,$235.84
09/09/2025,$238.24
09/10/2025,$230.33
09/11/2025,$229.95
09/12/2025,$228.15
09/15/2025,$231.43
09/16/2025,$234.05
09/17/2025,$231.62
09/18/2025,$231.23
09/19/2025,$231.48
09/22/2025,$227.63
09/23/2025,$220.71
09/24/2025,$220.21
09/25/2025,$218.15
09/26/2025,$219.78
09/29/2025,$222.17
09/30/2025,$219.57
10/01/2025,$220.63
10/02/2025,$222.41
10/03/2025,$219.51
10/06/2025,$220.90
10/07/2025,$221.78
10/08/2025,$225.22
10/09/2025,$227.74
10/10/2025,$216.37
10/13/2025,$220.07
10/14/2025,$216.39
10/15/2025,$215.57
10/16/2025,$214.47
10/17/2025,$213.04
10/20/2025,$216.48
10/21/2025,$222.03
10/22/2025,$217.95
10/23/2025,$221.09
10/24/2025,$224.21
10/27/2025,$226.97
10/28/2025,$229.25
10/29/2025,$230.30
10/30/2025,$222.86
10/31/2025,$244.22
11/03/2025,$254.00
11/04/2025,$249.32
11/05/2025,$250.20
11/06/2025,$243.04
11/07/2025,$244.41
11/10/2025,$248.40
11/11/2025,$249.10
11/12/2025,$244.20
11/13/2025,$237.58
11/14/2025,$234.69
11/17/2025,$232.87
11/18/2025,$222.55
11/19/2025,$222.69
11/20/2025,$217.14
11/21/2025,$220.69
11/24/2025,$226.28
11/25/2025,$229.67
11/26/2025,$229.16
11/28/2025,$233.22
12/01/2025,$233.88
12/02/2025,$234.42
12/03/2025,$232.38
