Date,Close/Last
07/15/2025,$280.94
07/16/2025,$280.81
07/17/2025,$286.45
07/18/2025,$283.34
07/21/2025,$288.21
07/22/2025,$278.59
07/23/2025,$283.69
07/24/2025,$288.71
07/25/2025,$290.18
07/28/2025,$294.30
07/29/2025,$297.42
07/30/2025,$302.62
07/31/2025,$293.70
08/01/2025,$288.64
08/04/2025,$297.72
08/05/2025,$292.93
08/06/2025,$301.67
08/07/2025,$303.76
08/08/2025,$304.97
08/11/2025,$303.90
08/12/2025,$312.83
08/13/2025,$309.09
08/14/2025,$311.23
08/15/2025,$306.34
08/18/2025,$305.76
08/19/2025,$294.91
08/20/2025,$291.17
08/21/2025,$289.60
08/22/2025,$294.00
08/25/2025,$294.23
08/26/2025,$298.01
08/27/2025,$300.25
08/28/2025,$308.65
08/29/2025,$297.39
09/02/2025,$298.24
09/03/2025,$302.39
09/04/2025,$306.10
09/05/2025,$334.89
09/08/2025,$345.65
09/09/2025,$336.67
09/10/2025,$369.57
09/11/2025,$359.63
09/12/2025,$359.87
09/15/2025,$364.09
09/16/2025,$360.00
09/17/2025,$346.17
09/18/2025,$345.35
09/19/2025,$344.94
09/22/2025,$338.79
09/23/2025,$338.94
09/24/2025,$339.31
09/25/2025,$336.10
09/26/2025,$334.53
09/29/2025,$327.90
09/30/2025,$329.91
10/01/2025,$333.39
10/02/2025,$338.18
10/03/2025,$338.37
10/06/2025,$335.49
10/07/2025,$336.41
10/08/2025,$345.50
10/09/2025,$345.02
10/10/2025,$324.63
10/13/2025,$356.70
10/14/2025,$344.13
10/15/2025,$351.33
10/16/2025,$354.15
10/17/2025,$349.33
10/20/2025,$349.24
10/21/2025,$342.66
10/22/2025,$340.30
10/23/2025,$344.29
10/24/2025,$354.13
10/27/2025,$362.05
10/28/2025,$372.97
10/29/2025,$385.98
10/30/2025,$376.47
10/31/2025,$369.63
11/03/2025,$362.55
11/04/2025,$351.94
11/05/2025,$358.98
11/06/2025,$355.59
11/07/2025,$349.43
11/10/2025,$358.39
11/11/2025,$351.96
11/12/2025,$355.22
11/13/2025,$339.98
11/14/2025,$342.46
11/17/2025,$342.65
11/18/2025,$340.50
11/19/2025,$354.42
11/20/2025,$346.82
11/21/2025,$340.20
11/24/2025,$377.96
11/25/2025,$385.03
11/26/2025,$397.57
11/28/2025,$402.96
12/01/2025,$386.08
12/02/2025,$381.57
12/03/2025,$380.61
