Date,Close/Last
07/15/2025,$7.17
07/16/2025,$7.24
07/17/2025,$7.16
07/18/2025,$6.88
07/21/2025,$6.27
07/22/2025,$6.52
07/23/2025,$6.82
07/24/2025,$6.48
07/25/2025,$7.06
07/28/2025,$6.79
07/29/2025,$6.74
07/30/2025,$8.18
07/31/2025,$8.18
08/01/2025,$7.90
08/04/2025,$7.68
08/05/2025,$7.67
08/06/2025,$7.74
08/07/2025,$8.07
08/08/2025,$9.07
08/11/2025,$7.82
08/12/2025,$8.04
08/13/2025,$8.30
08/14/2025,$7.78
08/15/2025,$7.96
08/18/2025,$7.70
08/19/2025,$7.67
08/20/2025,$7.17
08/21/2025,$7.01
08/22/2025,$7.10
08/25/2025,$6.60
08/26/2025,$6.47
08/27/2025,$6.25
08/28/2025,$6.26
08/29/2025,$6.28
09/02/2025,$6.33
09/03/2025,$6.28
09/04/2025,$5.94
09/05/2025,$6.74
09/08/2025,$6.35
09/09/2025,$6.48
09/10/2025,$6.33
09/11/2025,$6.44
09/12/2025,$6.36
09/15/2025,$6.04
09/16/2025,$6.22
09/17/2025,$6.08
09/18/2025,$6.40
09/19/2025,$6.65
09/22/2025,$6.09
09/23/2025,$6.15
09/24/2025,$6.19
09/25/2025,$6.52
09/26/2025,$7.09
09/29/2025,$7.41
09/30/2025,$7.21
10/01/2025,$7.82
10/02/2025,$7.97
10/03/2025,$7.36
10/06/2025,$7.81
10/07/2025,$7.50
10/08/2025,$7.48
10/09/2025,$7.62
10/10/2025,$7.09
10/13/2025,$6.72
10/14/2025,$6.70
10/15/2025,$6.69
10/16/2025,$6.16
10/17/2025,$6.25
10/20/2025,$6.40
10/21/2025,$6.37
10/22/2025,$6.23
10/23/2025,$6.13
10/24/2025,$6.20
10/27/2025,$6.18
10/28/2025,$6.18
10/29/2025,$6.92
10/30/2025,$6.21
10/31/2025,$6.51
11/03/2025,$6.07
11/04/2025,$6.06
11/05/2025,$6.22
11/06/2025,$6.28
11/07/2025,$5.93
11/10/2025,$5.56
11/11/2025,$6.20
11/12/2025,$5.87
11/13/2025,$5.77
11/14/2025,$5.60
11/17/2025,$5.69
11/18/2025,$5.64
11/19/2025,$5.77
11/20/2025,$5.69
11/21/2025,$5.75
11/24/2025,$4.64
11/25/2025,$4.60
11/26/2025,$5.19
11/28/2025,$5.35
12/01/2025,$6.65
12/02/2025,$6.36
12/03/2025,$29.96
