Date,Close/Last
07/15/2025,$4.31
07/16/2025,$4.29
07/17/2025,$4.21
07/18/2025,$4.25
07/21/2025,$4.26
07/22/2025,$4.27
07/23/2025,$4.27
07/24/2025,$4.28
07/25/2025,$4.27
07/28/2025,$4.25
07/29/2025,$4.19
07/30/2025,$4.25
07/31/2025,$4.21
08/01/2025,$4.17
08/04/2025,$4.26
08/05/2025,$4.21
08/06/2025,$4.21
08/07/2025,$4.20
08/08/2025,$4.21
08/11/2025,$4.23
08/12/2025,$4.25
08/13/2025,$4.27
08/14/2025,$4.25
08/15/2025,$4.22
08/18/2025,$4.20
08/19/2025,$4.17
08/20/2025,$4.19
08/21/2025,$4.22
08/22/2025,$4.24
08/25/2025,$4.28
08/26/2025,$4.24
08/27/2025,$4.24
08/28/2025,$4.25
08/29/2025,$4.27
09/02/2025,$4.26
09/03/2025,$4.26
09/04/2025,$4.29
09/05/2025,$4.27
09/08/2025,$4.30
09/09/2025,$4.30
09/10/2025,$4.30
09/11/2025,$4.35
09/12/2025,$4.35
09/15/2025,$4.36
09/16/2025,$4.24
09/17/2025,$4.22
09/18/2025,$4.23
09/19/2025,$4.24
09/22/2025,$4.30
09/23/2025,$4.29
09/24/2025,$4.33
09/25/2025,$4.23
09/26/2025,$4.24
09/29/2025,$4.28
09/30/2025,$4.30
10/01/2025,$4.24
10/02/2025,$4.23
10/03/2025,$4.24
10/06/2025,$4.27
10/07/2025,$4.24
10/08/2025,$4.23
10/09/2025,$4.19
10/10/2025,$4.13
10/13/2025,$4.10
10/14/2025,$4.05
10/15/2025,$4.16
10/16/2025,$4.06
10/17/2025,$4.01
10/20/2025,$4.00
10/21/2025,$3.99
10/22/2025,$3.93
10/23/2025,$3.98
10/24/2025,$4.00
10/27/2025,$4.04
10/28/2025,$4.03
10/29/2025,$4.03
10/30/2025,$4.03
10/31/2025,$4.02
11/03/2025,$4.07
11/04/2025,$4.06
11/05/2025,$4.05
11/06/2025,$4.05
11/07/2025,$4.04
11/10/2025,$4.07
11/11/2025,$4.16
11/12/2025,$4.18
11/13/2025,$4.03
11/14/2025,$4.05
11/17/2025,$4.02
11/18/2025,$3.92
11/19/2025,$3.94
11/20/2025,$4.00
11/21/2025,$3.99
11/24/2025,$4.00
11/25/2025,$4.05
11/26/2025,$4.09
11/28/2025,$4.14
12/01/2025,$4.16
12/02/2025,$4.15
12/03/2025,$4.13
