Date,Close/Last
07/15/2025,$183.10
07/16/2025,$183.77
07/17/2025,$184.70
07/18/2025,$185.94
07/21/2025,$191.15
07/22/2025,$192.11
07/23/2025,$191.51
07/24/2025,$193.20
07/25/2025,$194.08
07/28/2025,$193.42
07/29/2025,$196.43
07/30/2025,$197.44
07/31/2025,$192.86
08/01/2025,$189.95
08/04/2025,$195.75
08/05/2025,$195.32
08/06/2025,$196.92
08/07/2025,$197.28
08/08/2025,$202.09
08/11/2025,$201.63
08/12/2025,$204.16
08/13/2025,$203.03
08/14/2025,$203.82
08/15/2025,$204.91
08/18/2025,$204.29
08/19/2025,$202.49
08/20/2025,$200.19
08/21/2025,$200.62
08/22/2025,$206.72
08/25/2025,$209.16
08/26/2025,$207.95
08/27/2025,$208.21
08/28/2025,$212.37
08/29/2025,$213.53
09/02/2025,$211.99
09/03/2025,$231.10
09/04/2025,$232.66
09/05/2025,$235.17
09/08/2025,$234.16
09/09/2025,$239.94
09/10/2025,$239.56
09/11/2025,$240.78
09/12/2025,$241.38
09/15/2025,$251.76
09/16/2025,$251.42
09/17/2025,$249.85
09/18/2025,$252.33
09/19/2025,$255.24
09/22/2025,$252.88
09/23/2025,$252.34
09/24/2025,$247.83
09/25/2025,$246.57
09/26/2025,$247.18
09/29/2025,$244.36
09/30/2025,$243.55
10/01/2025,$245.54
10/02/2025,$246.43
10/03/2025,$246.45
10/06/2025,$251.51
10/07/2025,$247.13
10/08/2025,$245.46
10/09/2025,$242.21
10/10/2025,$237.49
10/13/2025,$244.64
10/14/2025,$246.19
10/15/2025,$251.71
10/16/2025,$251.88
10/17/2025,$253.79
10/20/2025,$257.02
10/21/2025,$251.34
10/22/2025,$252.53
10/23/2025,$253.73
10/24/2025,$260.51
10/27/2025,$269.93
10/28/2025,$268.43
10/29/2025,$275.17
10/30/2025,$281.90
10/31/2025,$281.82
11/03/2025,$284.12
11/04/2025,$278.06
11/05/2025,$284.75
11/06/2025,$285.34
11/07/2025,$279.70
11/10/2025,$290.59
11/11/2025,$291.74
11/12/2025,$287.43
11/13/2025,$279.12
11/14/2025,$276.98
11/17/2025,$285.60
11/18/2025,$284.96
11/19/2025,$292.99
11/20/2025,$289.98
11/21/2025,$299.65
11/24/2025,$318.47
11/25/2025,$323.64
11/26/2025,$320.28
11/28/2025,$320.12
12/01/2025,$315.12
12/02/2025,$316.02
12/03/2025,$320.62
