Date,Close/Last
07/15/2025,$505.82
07/16/2025,$505.62
07/17/2025,$511.70
07/18/2025,$510.05
07/21/2025,$510.06
07/22/2025,$505.27
07/23/2025,$505.87
07/24/2025,$510.88
07/25/2025,$513.71
07/28/2025,$512.50
07/29/2025,$512.57
07/30/2025,$513.24
07/31/2025,$533.50
08/01/2025,$524.11
08/04/2025,$535.64
08/05/2025,$527.75
08/06/2025,$524.94
08/07/2025,$520.84
08/08/2025,$522.04
08/11/2025,$521.77
08/12/2025,$529.24
08/13/2025,$520.58
08/14/2025,$522.48
08/15/2025,$520.17
08/18/2025,$517.10
08/19/2025,$509.77
08/20/2025,$505.72
08/21/2025,$504.24
08/22/2025,$507.23
08/25/2025,$504.26
08/26/2025,$502.04
08/27/2025,$506.74
08/28/2025,$509.64
08/29/2025,$506.69
09/02/2025,$505.12
09/03/2025,$505.35
09/04/2025,$507.97
09/05/2025,$495.00
09/08/2025,$498.20
09/09/2025,$498.41
09/10/2025,$500.37
09/11/2025,$501.01
09/12/2025,$509.90
09/15/2025,$515.36
09/16/2025,$509.04
09/17/2025,$510.02
09/18/2025,$508.45
09/19/2025,$517.93
09/22/2025,$514.45
09/23/2025,$509.23
09/24/2025,$510.15
09/25/2025,$507.03
09/26/2025,$511.46
09/29/2025,$514.60
09/30/2025,$517.95
10/01/2025,$519.71
10/02/2025,$515.74
10/03/2025,$517.35
10/06/2025,$528.57
10/07/2025,$523.98
10/08/2025,$524.85
10/09/2025,$522.40
10/10/2025,$510.96
10/13/2025,$514.05
10/14/2025,$513.57
10/15/2025,$513.43
10/16/2025,$511.61
10/17/2025,$513.58
10/20/2025,$516.79
10/21/2025,$517.66
10/22/2025,$520.54
10/23/2025,$520.56
10/24/2025,$523.61
10/27/2025,$531.52
10/28/2025,$542.07
10/29/2025,$541.55
10/30/2025,$525.76
10/31/2025,$517.81
11/03/2025,$517.03
11/04/2025,$514.33
11/05/2025,$507.16
11/06/2025,$497.10
11/07/2025,$496.82
11/10/2025,$506.00
11/11/2025,$508.68
11/12/2025,$511.14
11/13/2025,$503.29
11/14/2025,$510.18
11/17/2025,$507.49
11/18/2025,$493.79
11/19/2025,$487.12
11/20/2025,$478.43
11/21/2025,$472.12
11/24/2025,$474.00
11/25/2025,$476.99
11/26/2025,$485.50
11/28/2025,$492.01
12/01/2025,$486.74
12/02/2025,$490.00
12/03/2025,$477.73
