Date,Close/Last
07/15/2025,$0.71
07/16/2025,$0.65
07/17/2025,$0.71
07/18/2025,$0.70
07/21/2025,$0.69
07/22/2025,$0.67
07/23/2025,$0.68
07/24/2025,$0.64
07/25/2025,$0.64
07/28/2025,$0.67
07/29/2025,$1.19
07/30/2025,$0.71
07/31/2025,$0.64
08/01/2025,$0.58
08/04/2025,$0.59
08/05/2025,$0.61
08/06/2025,$0.62
08/07/2025,$0.57
08/08/2025,$0.54
08/11/2025,$0.53
08/12/2025,$0.48
08/13/2025,$0.47
08/14/2025,$0.52
08/15/2025,$0.51
08/18/2025,$0.50
08/19/2025,$0.47
08/20/2025,$0.43
08/21/2025,$0.44
08/22/2025,$0.46
08/25/2025,$0.46
08/26/2025,$0.44
08/27/2025,$0.44
08/28/2025,$0.43
08/29/2025,$0.42
09/02/2025,$0.38
09/03/2025,$0.38
09/04/2025,$0.37
09/05/2025,$0.37
09/08/2025,$0.37
09/09/2025,$0.39
09/10/2025,$0.39
09/11/2025,$0.44
09/12/2025,$0.41
09/15/2025,$0.43
09/16/2025,$0.49
09/17/2025,$0.44
09/18/2025,$0.45
09/19/2025,$0.49
09/22/2025,$0.51
09/23/2025,$0.50
09/24/2025,$0.47
09/25/2025,$0.45
09/26/2025,$0.42
09/29/2025,$0.41
09/30/2025,$0.41
10/01/2025,$0.41
10/02/2025,$0.41
10/03/2025,$0.44
10/06/2025,$0.45
10/07/2025,$0.44
10/08/2025,$0.45
10/09/2025,$0.45
10/10/2025,$0.62
10/13/2025,$0.53
10/14/2025,$0.55
10/15/2025,$0.59
10/16/2025,$0.52
10/17/2025,$0.53
10/20/2025,$0.58
10/21/2025,$0.53
10/22/2025,$0.52
10/23/2025,$0.56
10/24/2025,$0.59
10/27/2025,$0.65
10/28/2025,$0.59
10/29/2025,$0.53
10/30/2025,$0.51
10/31/2025,$0.50
11/03/2025,$0.46
11/04/2025,$0.44
11/05/2025,$0.47
11/06/2025,$0.43
11/07/2025,$0.43
11/10/2025,$0.46
11/11/2025,$0.46
11/12/2025,$0.46
11/13/2025,$0.42
11/14/2025,$0.42
11/17/2025,$0.40
11/18/2025,$0.41
11/19/2025,$0.40
11/20/2025,$0.37
11/21/2025,$0.37
11/24/2025,$0.40
11/25/2025,$0.39
11/26/2025,$0.39
11/28/2025,$0.42
12/01/2025,$0.38
12/02/2025,$0.38
12/03/2025,$0.23
