Date,Close,Buy,Sell,Signal
2016-01-20,0.687,0,0,0
2016-01-21,0.695,0,0,0
2016-01-22,0.7113,0,0,0
2016-01-25,0.7105,0,0,0
2016-01-26,0.7175,0,0,0
2016-01-27,0.709,0,0,0
2016-01-28,0.7013,0,0,0
2016-01-29,0.7323,0,0,0
2016-02-01,0.7325,0,0,0
2016-02-02,0.7015,0,0,0
2016-02-03,0.705,0,0,0
2016-02-04,0.7053,0,0,0
2016-02-05,0.6608,0,0,0
2016-02-08,0.6305,0,0,0
2016-02-09,0.6372,0,0,0
2016-02-10,0.6358,0,0,0
2016-02-11,0.6325,0,0,0
2016-02-12,0.6433,0,0,0
2016-02-16,0.6747,0,0,0
2016-02-17,0.6915,0,0,0
2016-02-18,0.751,0,0,0
2016-02-19,0.761,0,0,0
2016-02-22,0.788,0,0,0
2016-02-23,0.79,0,0,0
2016-02-24,0.7955,0,0,0
2016-02-25,0.7973,0,0,0
2016-02-26,0.792,0,0,0
2016-02-29,0.784,0,0,0
2016-03-01,0.8188,0,0,0
2016-03-02,0.8235,0,0,0
2016-03-03,0.8163,0,0,0
2016-03-04,0.8137,0,0,0
2016-03-07,0.8085,0,0,0
2016-03-08,0.7938,0,0,0
2016-03-09,0.7933,0,0,0
2016-03-10,0.792,0,0,0
2016-03-11,0.8055,0,0,0
2016-03-14,0.8075,0,0,0
2016-03-15,0.8035,0,0,0
2016-03-16,0.8275,0,0,0
2016-03-17,0.8205,0,0,0
2016-03-18,0.8453,0,0,0
2016-03-21,0.8478,0,0,0
2016-03-22,0.8463,0,0,0
2016-03-23,0.8608,0,0,0
2016-03-24,0.862,0,0,0
2016-03-28,0.8708,0,0,0
2016-03-29,0.8848,0,0,0
2016-03-30,0.894,0,0,0
2016-03-31,0.8908,0,0,0
2016-04-01,0.9038,0,0,0
2016-04-04,0.895,0,0,0
2016-04-05,0.8938,0,0,0
2016-04-06,0.895,0,0,0
2016-04-07,0.8858,0,0,0
2016-04-08,0.8915,0,0,0
2016-04-11,0.897,0,0,0
2016-04-12,0.896,0,0,0
2016-04-13,0.9185,0,0,0
2016-04-14,0.921,0,0,0
2016-04-15,0.9283,0,0,0
2016-04-18,0.9243,0,0,0
2016-04-19,0.9078,0,0,0
2016-04-20,0.9113,0,0,0
2016-04-21,0.9103,0,0,0
2016-04-22,0.9068,0,0,0
2016-04-25,0.9113,0,0,0
2016-04-26,0.912,0,0,0
2016-04-27,0.9328,0,0,0
2016-04-28,0.905,0,0,0
2016-04-29,0.8883,0,0,0
2016-05-02,0.9,0,0,0
2016-05-03,0.8893,0,0,0
2016-05-04,0.869,0,0,0
2016-05-05,0.8742,0,0,0
2016-05-06,0.8832,0,0,0
2016-05-09,0.882,1,0,1
2016-05-10,0.899,0,0,0
2016-05-11,0.9015,0,0,0
2016-05-12,0.8893,0,0,0
2016-05-13,1.0245,0,1,-1
2016-05-16,1.0548,0,0,0
2016-05-17,1.057,0,0,0
2016-05-18,1.084,0,0,0
2016-05-19,1.0887,0,0,0
2016-05-20,1.1083,0,0,0
2016-05-23,1.11,0,0,0
2016-05-24,1.134,0,0,0
2016-05-25,1.1293,0,0,0
2016-05-26,1.1413,0,0,0
2016-05-27,1.1475,0,0,0
2016-05-31,1.168,0,0,0
2016-06-01,1.1703,0,0,0
2016-06-02,1.1785,0,0,0
2016-06-03,1.162,0,0,0
2016-06-06,1.156,1,0,1
2016-06-07,1.1583,0,0,0
2016-06-08,1.1545,0,0,0
2016-06-09,1.1845,0,0,0
2016-06-10,1.155,0,0,0
2016-06-13,1.1698,0,0,0
2016-06-14,1.172,0,0,0
2016-06-15,1.184,0,0,0
2016-06-16,1.1888,0,0,0
2016-06-17,1.168,0,0,0
2016-06-20,1.189,0,0,0
2016-06-21,1.1818,0,0,0
2016-06-22,1.1808,0,0,0
2016-06-23,1.2123,0,1,-1
2016-06-24,1.1432,1,0,1
2016-06-27,1.131,0,0,0
2016-06-28,1.1475,0,0,0
2016-06-29,1.1663,0,0,0
2016-06-30,1.1752,0,0,0
2016-07-01,1.1665,0,0,0
2016-07-05,1.1838,0,0,0
2016-07-06,1.1912,0,0,0
2016-07-07,1.2223,0,1,-1
2016-07-08,1.2713,0,0,0
2016-07-11,1.3005,0,0,0
2016-07-12,1.32,0,0,0
2016-07-13,1.3195,0,0,0
2016-07-14,1.333,0,0,0
2016-07-15,1.3175,1,0,1
2016-07-18,1.3243,0,0,0
2016-07-19,1.338,0,0,0
2016-07-20,1.3555,0,0,0
2016-07-21,1.3305,0,0,0
2016-07-22,1.3668,0,0,0
2016-07-25,1.392,0,0,0
2016-07-26,1.4158,0,0,0
2016-07-27,1.4015,0,0,0
2016-07-28,1.4045,0,0,0
2016-07-29,1.4275,0,0,0
2016-08-01,1.4183,0,0,0
2016-08-02,1.401,0,0,0
2016-08-03,1.4047,0,0,0
2016-08-04,1.4308,0,0,0
2016-08-05,1.455,0,1,-1
2016-08-08,1.4685,0,0,0
2016-08-09,1.4723,0,0,0
2016-08-10,1.4628,1,0,1
2016-08-11,1.4925,0,0,0
2016-08-12,1.576,0,1,-1
2016-08-15,1.5745,0,0,0
2016-08-16,1.565,1,0,1
2016-08-17,1.5288,0,0,0
2016-08-18,1.5525,0,0,0
2016-08-19,1.5565,0,0,0
2016-08-22,1.563,0,0,0
2016-08-23,1.5728,0,0,0
2016-08-24,1.5485,0,0,0
2016-08-25,1.5383,0,0,0
2016-08-26,1.5508,0,0,0
2016-08-29,1.5498,0,0,0
2016-08-30,1.5408,0,0,0
2016-08-31,1.5335,0,0,0
2016-09-01,1.5788,0,1,-1
2016-09-02,1.5633,1,0,1
2016-09-06,1.578,0,0,0
2016-09-07,1.5548,0,0,0
2016-09-08,1.566,0,0,0
2016-09-09,1.488,0,0,0
2016-09-12,1.5188,0,0,0
2016-09-13,1.4968,0,0,0
2016-09-14,1.51,0,0,0
2016-09-15,1.5673,0,1,-1
2016-09-16,1.571,0,0,0
2016-09-19,1.5918,0,0,0
2016-09-20,1.5773,0,0,0
2016-09-21,1.6215,0,0,0
2016-09-22,1.6255,0,0,0
2016-09-23,1.6238,0,0,0
2016-09-26,1.6085,0,0,0
2016-09-27,1.6635,0,0,0
2016-09-28,1.6695,0,0,0
2016-09-29,1.685,0,0,0
2016-09-30,1.713,0,0,0
2016-10-03,1.7113,0,0,0
2016-10-04,1.7075,0,0,0
2016-10-05,1.7058,0,0,0
2016-10-06,1.6835,1,0,1
2016-10-07,1.6712,0,0,0
2016-10-10,1.6775,0,0,0
2016-10-11,1.6532,0,0,0
2016-10-12,1.6608,0,0,0
2016-10-13,1.6338,0,0,0
2016-10-14,1.6498,0,0,0
2016-10-17,1.6403,0,0,0
2016-10-18,1.6653,0,0,0
2016-10-19,1.6618,0,0,0
2016-10-20,1.6933,0,0,0
2016-10-21,1.6885,0,0,0
2016-10-24,1.7677,0,1,-1
2016-10-25,1.7968,0,0,0
2016-10-26,1.804,0,0,0
2016-10-27,1.767,1,0,1
2016-10-28,1.764,0,0,0
2016-10-31,1.779,0,0,0
2016-11-01,1.7263,0,0,0
2016-11-02,1.719,0,0,0
2016-11-03,1.699,0,0,0
2016-11-04,1.6892,0,0,0
2016-11-07,1.7817,0,1,-1
2016-11-08,1.779,0,0,0
2016-11-09,1.749,1,0,1
2016-11-10,1.6943,0,0,0
2016-11-11,2.1993,0,1,-1
2016-11-14,2.091,1,0,1
2016-11-15,2.1547,0,0,0
2016-11-16,2.2908,0,0,0
2016-11-17,2.3098,0,0,0
2016-11-18,2.334,0,0,0
2016-11-21,2.3245,0,0,0
2016-11-22,2.3413,0,0,0
2016-11-23,2.3493,0,0,0
2016-11-25,2.354,0,0,0
2016-11-28,2.3527,0,0,0
2016-11-29,2.3313,0,0,0
2016-11-30,2.305,0,0,0
2016-12-01,2.191,0,0,0
2016-12-02,2.2113,0,0,0
2016-12-05,2.297,0,0,0
2016-12-06,2.3348,0,1,-1
2016-12-07,2.3767,0,0,0
2016-12-08,2.337,0,0,0
2016-12-09,2.2955,0,0,0
2016-12-12,2.2398,0,0,0
2016-12-13,2.2793,0,0,0
2016-12-14,2.4113,0,0,0
2016-12-15,2.4678,0,0,0
2016-12-16,2.5103,0,0,0
2016-12-19,2.5408,0,0,0
2016-12-20,2.6293,0,0,0
2016-12-21,2.6458,0,0,0
2016-12-22,2.6778,0,0,0
2016-12-23,2.7445,0,0,0
2016-12-27,2.933,0,0,0
2016-12-28,2.7313,1,0,1
2016-12-29,2.7858,0,0,0
2016-12-30,2.6685,0,0,0
2017-01-03,2.5503,0,0,0
2017-01-04,2.6098,0,0,0
2017-01-05,2.5435,0,0,0
2017-01-06,2.5775,0,0,0
2017-01-09,2.682,0,0,0
2017-01-10,2.6618,0,0,0
2017-01-11,2.629,0,0,0
2017-01-12,2.586,0,0,0
2017-01-13,2.5858,0,0,0
2017-01-17,2.5278,0,0,0
2017-01-18,2.5738,0,0,0
2017-01-19,2.629,0,0,0
2017-01-20,2.6003,0,1,-1
2017-01-23,2.6273,0,0,0
2017-01-24,2.6833,0,0,0
2017-01-25,2.6948,0,0,0
2017-01-26,2.7413,0,0,0
2017-01-27,2.7942,0,0,0
2017-01-30,2.7505,0,0,0
2017-01-31,2.7295,0,0,0
2017-02-01,2.8488,0,0,0
2017-02-02,2.8848,0,0,0
2017-02-03,2.8595,0,0,0
2017-02-06,2.9328,0,0,0
2017-02-07,2.9783,0,0,0
2017-02-08,2.9653,0,0,0
2017-02-09,2.9095,1,0,1
2017-02-10,2.8405,0,0,0
2017-02-13,2.7095,0,0,0
2017-02-14,2.7195,0,0,0
2017-02-15,2.725,0,0,0
2017-02-16,2.6813,0,0,0
2017-02-17,2.6808,0,0,0
2017-02-21,2.7767,0,1,-1
2017-02-22,2.769,0,0,0
2017-02-23,2.5122,1,0,1
2017-02-24,2.5365,0,0,0
2017-02-27,2.6103,0,0,0
2017-02-28,2.537,0,0,0
2017-03-01,2.5698,0,0,0
2017-03-02,2.475,0,0,0
2017-03-03,2.4608,0,0,0
2017-03-06,2.4418,0,0,0
2017-03-07,2.4685,0,0,0
2017-03-08,2.464,0,0,0
2017-03-09,2.4635,0,0,0
2017-03-10,2.478,0,0,0
2017-03-13,2.5463,0,0,0
2017-03-14,2.5445,0,0,0
2017-03-15,2.5638,0,0,0
2017-03-16,2.5953,0,1,-1
2017-03-17,2.6517,0,0,0
2017-03-20,2.7363,0,0,0
2017-03-21,2.6478,1,0,1
2017-03-22,2.7018,0,0,0
2017-03-23,2.6773,0,0,0
2017-03-24,2.6868,0,0,0
2017-03-27,2.7063,0,0,0
