BuyDate,SellDate,BuyPrice,SellPrice,HoldDays,ExitReason,Equity,TradeReturn
2016-05-09,2016-05-13,0.882,1.0245,4,signal,1.1592426581632653,0.15924265816326533
2016-06-06,2016-06-23,1.156,1.2123,13,signal,1.213270398003649,0.04660606600346018
2016-06-24,2016-07-07,1.1432,1.2223,8,signal,1.2946255507744122,0.06705442818404483
2016-07-15,2016-08-05,1.3175,1.455,15,forced,1.4268802274794634,0.10215670208728689
2016-08-10,2016-08-12,1.4628,1.576,2,signal,1.5342274820849449,0.07523214109926157
2016-08-16,2016-09-01,1.565,1.5788,12,signal,1.5446621688540758,0.006801264408945906
2016-09-02,2016-09-15,1.5633,1.5673,8,signal,1.5455188000764537,0.0005545751295334966
2016-10-06,2016-10-24,1.6835,1.7677,12,signal,1.6195736784929848,0.047915870329670485
2016-10-27,2016-11-07,1.767,1.7817,7,signal,1.6297827502656663,0.0063035550084891145
2016-11-09,2016-11-11,1.749,2.1993,2,signal,2.0452921810378295,0.25494774116638075
2016-11-14,2016-12-06,2.091,2.3348,15,forced,2.279197639056305,0.11436285738880914
2016-12-28,2017-01-20,2.7313,2.6003,15,forced,2.1655440091509734,-0.049865631640610864
2017-02-09,2017-02-21,2.9095,2.7767,7,signal,2.062569490006922,-0.04755133985220816
2017-02-23,2017-03-16,2.5122,2.5953,15,forced,2.126536890855319,0.031013452471936986
2017-03-21,2017-04-11,2.6478,2.453,15,forced,1.9661482814701086,-0.07542244391570385
2017-04-13,2017-05-05,2.3872,2.5965,15,forced,2.1342572511375146,0.08550167413706422
2017-05-17,2017-06-08,3.193,3.9985,15,signal,2.667324928676362,0.2497673030065768
2017-06-09,2017-06-30,3.74,3.614,15,forced,2.5723108308460403,-0.0356214935828878
2017-07-03,2017-07-10,3.4833,3.8425,4,signal,2.8318967768768766,0.10091546593747291
2017-07-27,2017-08-14,4.0435,4.21,12,signal,2.942612286898919,0.03909588475330783
2017-08-17,2017-09-08,4.0368,4.0922,15,forced,2.977032928608021,0.011697307818073543
2017-09-21,2017-10-12,4.519,4.7758,15,forced,3.1399187099887484,0.05471413494135868
2017-10-25,2017-10-27,4.8415,5.0465,2,signal,3.266327463806274,0.04025860714654561
2017-11-02,2017-11-10,5.1485,5.4035,6,signal,3.4212525782997565,0.04743098057686712
2017-11-13,2017-12-05,5.3158,4.6935,15,forced,3.0147014063633666,-0.11883108967606004
2017-12-13,2017-12-15,4.6545,4.789,2,signal,3.0956159979394235,0.026840001933612356
2017-12-29,2018-01-03,4.8375,5.3118,2,signal,3.39233548631152,0.09585151665116287
2018-01-16,2018-02-06,5.5028,5.6395,15,signal,3.469657802242438,0.02279323971432734
2018-02-08,2018-03-02,5.438,5.9135,15,forced,3.7655031792120175,0.08526644235012881
2018-03-19,2018-03-26,6.025,6.112,5,signal,3.812240487176198,0.012411968796680384
2018-03-27,2018-03-29,5.638,5.7898,2,signal,3.9070570813794636,0.024871619333096673
2018-04-02,2018-04-10,5.5263,5.6978,6,signal,4.020253848006294,0.028972386189674904
2018-04-19,2018-04-26,5.726,5.6305,5,signal,3.9453003577814054,-0.018643969524973936
2018-05-11,2018-06-04,6.3633,6.6213,15,forced,4.0970561418567915,0.03846495078025547
2018-06-07,2018-06-28,6.5725,6.0215,15,signal,3.7460794798779524,-0.08566557299353383
2018-06-29,2018-07-05,5.9225,6.0682,3,signal,3.830564510385023,0.022552919915576064
2018-07-11,2018-07-17,6.1883,6.3422,4,signal,3.917981048025242,0.02282079766656442
2018-07-30,2018-08-14,6.1033,6.5358,11,signal,4.187235079343395,0.06872264771517056
2018-08-15,2018-08-21,6.477,6.333,4,signal,4.085958121927824,-0.024187072255673958
2018-09-05,2018-09-26,6.9605,6.673,15,forced,3.9093591862836967,-0.043220936283312916
2018-10-02,2018-10-10,7.162,6.1423,6,signal,3.3460564128047277,-0.14409082067858137
2018-10-11,2018-10-16,5.8783,6.1458,3,signal,3.4913300918641728,0.043416386676420116
2018-10-19,2018-10-24,5.7293,4.9853,3,signal,3.0318773072599488,-0.1315982082802437
2018-10-26,2018-10-30,4.9573,5.075,2,signal,3.0976578311687586,0.021696301414076302
2018-11-12,2018-11-16,4.7385,4.1108,4,signal,2.6819450970973113,-0.13420227692307685
